,Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Production,Variation de stock,Animaux Abattus,Réserves (têtes),Distance,Population,Stabilité_Politique,PIB/habt ($),PIB (M$)
0,Afghanistan,5.0,1.53,0.33,0.54,57.0,0.0,29.0,55.0,28.0,0.0,35037000,13855000,7725.0,28845766.57894737,-2.461666666666667,2073.1428571428573,59801.0
1,Afrique du Sud,143.0,35.69,9.25,14.11,2118.0,63.0,514.0,2035.0,1667.0,0.0,999478000,170721000,10913.0,50901472.2631579,-0.10944444444444446,13591.3875,691822.0
2,Albanie,85.0,16.36,6.45,6.26,47.0,0.0,38.0,47.0,13.0,4.0,11412000,7652000,1398.0,2994856.3157894737,-0.08111111111111112,11290.9,33815.0
3,Algérie,22.0,6.38,1.5,1.97,277.0,0.0,2.0,264.0,275.0,0.0,257645000,137269000,865.0,35858473.631578945,-1.2194444444444443,11208.375,401915.0
4,Allemagne,71.0,19.47,4.16,7.96,1739.0,646.0,842.0,1609.0,1514.0,-29.0,625816000,62042308,3770.0,81527014.0,0.8500000000000001,50399.7,4108937.0
5,Angola,35.0,10.56,2.22,3.6,319.0,0.0,277.0,315.0,42.0,0.0,44390000,50213000,8723.0,22917624.684210528,-0.6527777777777778,7378.25,169092.0
6,Antigua-et-Barbuda,233.0,54.1,17.55,17.77,7.0,0.0,7.0,5.0,0.0,0.0,28000,161000,6688.0,86477.36842105263,0.8705555555555555,18862.425,1631.0
7,Arabie saoudite,151.0,43.36,9.38,15.57,1435.0,10.0,722.0,1435.0,616.0,-108.0,652421000,208398000,3365.0,26950353.52631579,-0.3661111111111111,47315.0375,1275157.0
8,Argentine,182.0,42.24,13.84,13.53,1962.0,207.0,8.0,1856.0,2161.0,0.0,764700000,115536000,13197.0,40553959.7368421,-0.07111111111111111,23023.2625,933684.0
9,Arménie,54.0,16.06,3.39,5.44,47.0,0.0,35.0,47.0,11.0,-2.0,7745000,4318000,3529.0,2949849.052631579,-0.15444444444444447,10451.45,30830.0
10,Australie,192.0,47.65,13.45,16.6,1171.0,42.0,16.0,1171.0,1269.0,71.0,677632000,111189000,16856.0,21785345.10526316,0.9794444444444443,46457.3375,1012089.0
11,Autriche,65.0,18.2,3.66,7.49,173.0,78.0,110.0,160.0,148.0,8.0,100313000,62042308,1976.0,8417649.789473685,1.141111111111111,52668.625,443346.0
12,Azerbaïdjan,44.0,13.11,2.77,4.45,129.0,0.0,27.0,129.0,104.0,2.0,105390000,29624000,3529.0,8975520.894736841,-0.7188888888888889,13120.175,117760.0
13,Bahamas,182.0,43.17,13.33,14.61,26.0,4.0,24.0,16.0,6.0,4.0,5305000,3181000,7861.0,345386.94736842107,0.953888888888889,36497.3875,12606.0
14,Bangladesh,7.0,1.5,0.51,0.47,250.0,-1.0,0.0,240.0,249.0,0.0,308835000,304106000,10613.0,145540913.57894737,-1.3144444444444445,4164.575,606116.0
15,Barbade,199.0,46.78,14.85,15.33,17.0,0.0,2.0,13.0,15.0,0.0,8347000,4240000,6652.0,280133.5263157895,1.083888888888889,15393.8375,4312.0
