Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","1991","1991","7021","Valeur annuel","USD","1685.1","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","1992","1992","7021","Valeur annuel","USD","1731.4","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","1993","1993","7021","Valeur annuel","USD","1756","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","1994","1994","7021","Valeur annuel","USD","1866.3","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","1995","1995","7021","Valeur annuel","USD","1967.1","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","1996","1996","7021","Valeur annuel","USD","1722.1","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","1997","1997","7021","Valeur annuel","USD","1820.3","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","1998","1998","7021","Valeur annuel","USD","1529.9","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","1999","1999","7021","Valeur annuel","USD","1294.4","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2000","2000","7021","Valeur annuel","USD","1194.1","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2001","2001","7021","Valeur annuel","USD","1094.3","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2002","2002","7021","Valeur annuel","USD","1052.5","A","Chiffre officiel"
