Code Domaine,Domaine,Code zone (M49),Zone,Code indicateur,Indicateur,Code sexe,Sexe,Code année,Année,Code Élément,Élément,Code source,Source,Unité,Valeur,Symbole,Description du Symbole,Note
"OEA","Indicateurs de l’emploi: Agriculture","004","Afghanistan","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","1445.58","X","Ciffre de sources internationales",""
"OEA","Indicateurs de l’emploi: Agriculture","710","Afrique du Sud","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","7262.23","X","Ciffre de sources internationales",""
"OEA","Indicateurs de l’emploi: Agriculture","008","Albanie","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","5098.49","X","Ciffre de sources internationales",""
"OEA","Indicateurs de l’emploi: Agriculture","012","Algérie","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","19435.43","X","Ciffre de sources internationales",""
"OEA","Indicateurs de l’emploi: Agriculture","276","Allemagne","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","37639.61","X","Ciffre de sources internationales",""
"OEA","Indicateurs de l’emploi: Agriculture","024","Angola","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","1676.65","X","Ciffre de sources internationales",""
"OEA","Indicateurs de l’emploi: Agriculture","682","Arabie saoudite","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","54111.03","X","Ciffre de sources internationales",""
"OEA","Indicateurs de l’emploi: Agriculture","032","Argentine","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","3102672.75","X","Ciffre de sources internationales",""
"OEA","Indicateurs de l’emploi: Agriculture","051","Arménie","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","5935.82","X","Ciffre de sources internationales",""
"OEA","Indicateurs de l’emploi: Agriculture","036","Australie","21085","Agriculture value added per worker (constant 2015 US$)","1","Total","2019","2019","6228","Valeur","3043","ILO - ILO Modelled Estimates","US$","73455.75","X","Ciffre de sources internationales",""
