Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","004","Afghanistan","5112","Réserves","02151","Poulets","2021","2021","1000 têtes","13855","I","Valeur imputée"
"QCL","Cultures et produits animaux","004","Afghanistan","5424","Rendement/Poids Carcasse","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","0.1g/An","8000","E","Valeur estimée"
"QCL","Cultures et produits animaux","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","28029.23","I","Valeur imputée"
"QCL","Cultures et produits animaux","004","Afghanistan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","35037","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5112","Réserves","02151","Poulets","2021","2021","1000 têtes","170721","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5424","Rendement/Poids Carcasse","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","0.1g/An","19160","E","Valeur estimée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","1915000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","999478","I","Valeur imputée"
"QCL","Cultures et produits animaux","008","Albanie","5112","Réserves","02151","Poulets","2021","2021","1000 têtes","7652","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5424","Rendement/Poids Carcasse","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","0.1g/An","11611","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","13250","A","Chiffre officiel"
